¥éËDomain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QC,Crops,5000,World,5510,Production,667,Tea,1963,1021949,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1964,1063199,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1965,1092631,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1966,1144061,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1967,1161581,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1968,1216441,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1969,1238984,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1970,1286757,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1971,1308424,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1972,1405269,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1973,1465134,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1974,1492601,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1975,1549347,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1976,1591872,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1977,1771000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1978,1805757,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1979,1834132,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1980,1893527,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1981,1885907,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1982,1961781,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1983,2062325,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1984,2202636,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1985,2307534,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1986,2293102,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1987,2358977,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1988,2448034,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1989,2472861,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1990,2524670,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1991,2564565,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1992,2498965,A,"Aggregate, may include official, semi-official, estimated or calculated data"
