Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)","Primary completion rate, total (% of relevant age group)",Urban population (% of total)
Afghanistan,AFG,1893.075681,..,25.468
Albania,ALB,10157.16385,..,54.33
Algeria,DZA,12778.54667,100.23518,68.87
American Samoa,ASM,..,..,87.413
Andorra,ADO,..,..,86.708
Angola,AGO,7230.496547,..,41.699
Antigua and Barbuda,ATG,20577.29211,..,25.135
Argentina,ARG,..,..,91.295
Armenia,ARM,7290.639072,..,63.161
Aruba,ABW,..,..,42.364
Australia,AUS,42529.87005,..,89.015
Austria,AUT,44504.85084,97.18944,65.864
Azerbaijan,AZE,15888.218,91.98033,53.856
"Bahamas, The",BHS,22694.27946,..,82.667
Bahrain,BHR,40657.79773,..,88.619
Bangladesh,BGD,2724.637772,..,31.99
Barbados,BRB,15298.71552,..,31.769
Belarus,BLR,16906.92189,103.27497,75.467
Belgium,BEL,40739.37927,89.96686,97.732
Belize,BLZ,8286.959159,116.0609,44.496
Benin,BEN,1685.297429,70.5206,42.667
Bermuda,BMU,52118.64023,..,100
Bhutan,BTN,7138.405378,101.25904,36.368
Bolivia,BOL,5650.43075,..,67.279
Bosnia and Herzegovina,BIH,9149.165577,..,39.378
Botswana,BWA,14531.00627,..,56.699
Brazil,BRA,14323.13588,..,84.901
Brunei Darussalam,BRN,71664.37399,101.94281,76.223
Bulgaria,BGR,15442.8269,98.17296,72.971
Burkina Faso,BFA,1527.855728,57.60056,27.346
Burundi,BDI,736.8432947,62.17888,11.189
Cabo Verde,CPV,6233.52206,99.04205,63.389
Cambodia,KHM,2790.430873,98.12583,20.137
Cameroon,CMR,2661.308203,72.84545,52.677
Canada,CAN,41541.11517,..,81.293
Cayman Islands,CYM,..,..,100
Central African Republic,CAF,931.4906894,45.3486,39.258
Chad,TCD,2003.396204,35.2531,22.129
Channel Islands,CHI,..,..,31.189
Chile,CHL,21048.92795,97.33283,88.986
China,CHN,10756.45771,..,51.889
Colombia,COL,11636.55207,105.04355,75.603
Comoros,COM,1385.269492,..,28.029
"Congo, Dem. Rep.",ZAR,741.8921093,72.81776,40.95
"Congo, Rep.",COG,5631.301294,72.98274,64.1
Costa Rica,CRI,13157.49157,95.19691,73.94
Cote d'Ivoire,CIV,2927.372482,61.19567,52.041
Croatia,HRV,20182.83017,93.17816,58.074
Cuba,CUB,..,95.61037,76.781
Curacao,CUW,..,..,89.652
Cyprus,CYP,29087.36749,100.06414,67.261
Czech Republic,CZE,28185.32985,102.47479,73.115
Denmark,DNK,42362.70493,98.52357,87.142
Djibouti,DJI,2807.035911,..,77.117
Dominica,DMA,10148.55932,103.9604,68.681
Dominican Republic,DOM,11417.94783,90.30978,76.039
Ecuador,ECU,10232.80564,110.86182,63.088
"Egypt, Arab Rep.",EGY,10686.42285,106.99634,43.002
El Salvador,SLV,7441.75338,100.9545,65.287
Equatorial Guinea,GNQ,35314.00158,54.79383,39.463
Eritrea,ERI,1179.775294,31.20823,21.352
Estonia,EST,24721.37978,96.42124,67.835
Ethiopia,ETH,1240.17194,..,18.16
Faeroe Islands,FRO,..,..,41.323
Fiji,FJI,7302.603021,103.62131,52.596
Finland,FIN,39504.44218,99.26237,83.819
France,FRA,37247.21334,..,78.82
