Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1893.07568149927
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,25.468
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10157.1638455842
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,54.33
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,12778.5466656296
Algeria,DZA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,100.23518
Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,68.87
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,87.413
Andorra,ADO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Andorra,ADO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,86.708
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7230.49654733803
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,41.699
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,20577.292106724
Antigua and Barbuda,ATG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,25.135
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,91.295
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7290.6390715562
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,63.161
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,42.364
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,42529.8700472812
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,89.015
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,44504.850844977
Austria,AUT,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,97.18944
Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,65.864
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,15888.2179950886
Azerbaijan,AZE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,91.98033
Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,53.856
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,22694.2794564162
"Bahamas, The",BHS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
"Bahamas, The",BHS,Urban population (% of total),SP.URB.TOTL.IN.ZS,82.667
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,40657.7977272442
Bahrain,BHR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,88.619
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2724.63777161934
Bangladesh,BGD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bangladesh,BGD,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.99
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,15298.7155167979
Barbados,BRB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Barbados,BRB,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.769
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,16906.9218948791
Belarus,BLR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.27497
Belarus,BLR,Urban population (% of total),SP.URB.TOTL.IN.ZS,75.467
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,40739.3792746532
Belgium,BEL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,89.96686
Belgium,BEL,Urban population (% of total),SP.URB.TOTL.IN.ZS,97.732
Belize,BLZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,8286.95915928284
Belize,BLZ,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,116.0609
Belize,BLZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,44.496
Benin,BEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1685.29742882893
Benin,BEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,70.5206
Benin,BEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,42.667
Bermuda,BMU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,52118.6402276982
Bermuda,BMU,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bermuda,BMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,100
Bhutan,BTN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7138.40537809518
Bhutan,BTN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,101.25904
Bhutan,BTN,Urban population (% of total),SP.URB.TOTL.IN.ZS,36.368
